prompt,base_usd,comp_usd,delta_pct,verdict,base_cache_read,comp_cache_read
1,0.0803,0.0749,-6.7,WIN,14157,0
2,0.1708,0.1896,11.0,LOSE,53796,46621
3,1.2206,1.5867,30.0,LOSE,880602,512974
4,0.6651,0.2328,-65.0,WIN,174945,57611
5,0.5833,0.8947,53.4,LOSE,465938,391953
6,0.6702,0.6423,-4.2,WIN,367792,366361
7,0.2544,0.2932,15.2,LOSE,75845,6476
8,0.5543,0.1938,-65.0,WIN,235784,6466
9,0.1585,0.3296,108.0,LOSE,30511,30113
10,0.0591,0.056,-5.2,WIN,14157,0
11,0.4922,0.7359,49.5,LOSE,262278,223146
12,0.0614,0.065,5.9,LOSE,14157,0
13,2.155,3.9042,81.2,LOSE,1097505,3341831
14,0.6315,0.0657,-89.6,WIN,156449,0
15,0.0574,0.0552,-3.9,WIN,14157,0
16,0.2912,0.2461,-15.5,WIN,80982,6584
17,0.1366,0.1989,45.6,LOSE,50900,6432
18,0.0592,0.0562,-5.1,WIN,14157,0
19,0.0514,0.0545,6.0,LOSE,14157,0
20,0.1498,0.0744,-50.3,WIN,30557,0
